"time","u_ext","T_amb_ext","T_Out_ext"
0,1,20,20
0.5,1,20,20.0753
1,3,20,20.1489
1.5,3,20,20.221
2,3,20,20.2915
2.5,3,20,20.3606
3,3,20,20.4281
3.5,3,20,20.5422
4,3,20,20.7548
4.5,3,20,20.9632
5,3,20,21.1677
5.5,3,20,21.3682
6,3,20,21.5646
6.5,3,20,21.7568
7,3,20,21.9449
7.5,3,20,22.129
8,3,20,22.3091
8.5,3,20,22.4853
9,3,20,22.6579
9.5,3,20,22.8266
10,3,20,22.9917
10.5,3,20,23.1533
11,3,20,23.3114
11.5,3,20,23.466
12,3,20,23.6174
12.5,3,20,23.7654
13,3,20,23.9102
13.5,3,20,24.0519
14,3,20,24.1905
14.5,3,20,24.3262
15,3,20,24.459
15.5,3,20,24.5888
16,3,20,24.7159
16.5,3,20,24.8403
17,3,20,24.962
17.5,3,20,25.081
18,3,20,25.1975
18.5,3,20,25.3115
19,3,20,25.4231
19.5,3,20,25.5323
20,3,20,25.6391
20.5,3,20,25.7436
21,3,20,25.8459
21.5,3,20,25.9459
22,3,20,26.0439
22.5,3,20,26.1397
23,3,20,26.2335
23.5,3,20,26.3252
24,3,20,26.415
24.5,3,20,26.5029
25,3,20,26.5889
25.5,3,20,26.673
26,3,20,26.7554
26.5,3,20,26.8359
27,3,20,26.9148
27.5,3,20,26.9919
28,3,20,27.0674
28.5,3,20,27.1412
29,3,20,27.2135
29.5,3,20,27.2842
30,3,20,27.3534
30.5,3,20,27.421
31,3,20,27.4873
31.5,3,20,27.5521
32,3,20,27.6155
32.5,3,20,27.6776
33,3,20,27.7383
33.5,3,20,27.7977
34,3,20,27.8559
34.5,3,20,27.9127
35,3,20,27.9684
35.5,3,20,28.0229
36,3,20,28.0762
36.5,3,20,28.1283
37,3,20,28.1793
37.5,3,20,28.2293
38,3,20,28.2781
38.5,3,20,28.3259
39,3,20,28.3726
39.5,3,20,28.4184
40,3,20,28.4632
40.5,3,20,28.507
41,3,20,28.5499
41.5,3,20,28.5918
42,3,20,28.6329
42.5,3,20,28.673
43,3,20,28.7123
43.5,3,20,28.7508
44,3,20,28.7884
44.5,3,20,28.8252
45,3,20,28.8613
45.5,3,20,28.8965
46,3,20,28.931
46.5,3,20,28.9648
47,3,20,28.9978
47.5,3,20,29.0301
48,3,20,29.0617
48.5,3,20,29.0926
49,3,20,29.1229
49.5,3,20,29.1525
50,3,20,29.1815
50.5,3,20,29.2099
51,3,20,29.2376
51.5,3,20,29.2648
52,3,20,29.2913
52.5,3,20,29.3173
53,3,20,29.3428
53.5,3,20,29.3676
54,3,20,29.392
54.5,3,20,29.4158
55,3,20,29.4391
55.5,3,20,29.4619
56,3,20,29.4842
56.5,3,20,29.5061
57,3,20,29.5274
57.5,3,20,29.5483
58,3,20,29.5688
58.5,3,20,29.5888
59,3,20,29.6083
59.5,3,20,29.6275
60,3,20,29.6462
60.5,3,20,29.6645
61,3,20,29.6825
61.5,3,20,29.7
62,3,20,29.7172
62.5,3,20,29.734
63,3,20,29.7505
63.5,3,20,29.7666
64,3,20,29.7823
64.5,3,20,29.7977
65,3,20,29.8128
65.5,3,20,29.8276
66,3,20,29.842
66.5,3,20,29.8561
67,3,20,29.8699
67.5,3,20,29.8834
68,3,20,29.8966
68.5,3,20,29.9096
69,3,20,29.9222
69.5,3,20,29.9346
70,3,20,29.9467
70.5,3,20,29.9586
71,3,20,29.9702
71.5,3,20,29.9816
72,3,20,29.9927
72.5,3,20,30.0036
73,3,20,30.0142
73.5,3,20,30.0246
74,3,20,30.0348
74.5,3,20,30.0448
75,3,20,30.0545
75.5,3,20,30.0641
76,3,20,30.0734
76.5,3,20,30.0826
77,3,20,30.0915
77.5,3,20,30.1002
78,3,20,30.1088
78.5,3,20,30.1172
79,3,20,30.1254
79.5,3,20,30.1334
80,3,20,30.1413
80.5,3,20,30.149
81,3,20,30.1565
81.5,3,20,30.1639
82,3,20,30.1711
82.5,3,20,30.1781
83,3,20,30.185
83.5,3,20,30.1918
84,3,20,30.1984
84.5,3,20,30.2048
85,3,20,30.2112
85.5,3,20,30.2174
86,3,20,30.2234
86.5,3,20,30.2293
87,3,20,30.2351
87.5,3,20,30.2408
88,3,20,30.2464
88.5,3,20,30.2518
89,3,20,30.2571
89.5,3,20,30.2624
90,3,20,30.2675
90.5,3,20,30.2725
91,3,20,30.2774
91.5,3,20,30.2821
92,3,20,30.2868
92.5,3,20,30.2914
93,3,20,30.2958
93.5,3,20,30.3002
94,3,20,30.3045
94.5,3,20,30.3087
95,3,20,30.3128
95.5,3,20,30.3168
96,3,20,30.3208
96.5,3,20,30.3246
97,3,20,30.3284
97.5,3,20,30.332
98,3,20,30.3357
98.5,3,20,30.3392
99,3,20,30.3426
99.5,3,20,30.346
100,3,20,30.3493
100.5,1,20,30.3526
101,1,20,30.3557
101.5,1,20,30.3588
102,1,20,30.3619
102.5,1,20,30.3545
103,1,20,30.279
103.5,1,20,30.1368
104,1,20,29.9949
104.5,1,20,29.856
105,1,20,29.7195
105.5,1,20,29.5858
106,1,20,29.4549
106.5,1,20,29.3268
107,1,20,29.2014
107.5,1,20,29.0787
108,1,20,28.9587
108.5,1,20,28.8412
109,1,20,28.7262
109.5,1,20,28.6137
110,1,20,28.5037
110.5,1,20,28.396
111,1,20,28.2906
111.5,1,20,28.1875
112,1,20,28.0867
112.5,1,20,27.988
113,1,20,27.8915
113.5,1,20,27.797
114,1,20,27.7046
114.5,1,20,27.6142
115,1,20,27.5258
115.5,1,20,27.4392
116,1,20,27.3545
116.5,1,20,27.2717
117,1,20,27.1906
117.5,1,20,27.1113
118,1,20,27.0336
118.5,1,20,26.9576
119,1,20,26.8833
119.5,1,20,26.8106
120,1,20,26.7394
120.5,1,20,26.6697
121,1,20,26.6016
121.5,1,20,26.5349
122,1,20,26.4697
122.5,1,20,26.4058
123,1,20,26.3433
123.5,1,20,26.2822
124,1,20,26.2224
124.5,1,20,26.1638
125,1,20,26.1065
125.5,1,20,26.0505
126,1,20,25.9956
126.5,1,20,25.9419
127,1,20,25.8894
127.5,1,20,25.8379
128,1,20,25.7876
128.5,1,20,25.7384
129,1,20,25.6902
129.5,1,20,25.6431
130,1,20,25.597
130.5,2,20,25.5519
131,2,20,25.5077
131.5,2,20,25.4645
132,2,20,25.4223
132.5,2,20,25.3861
133,2,20,25.386
133.5,2,20,25.4184
134,2,20,25.4521
134.5,2,20,25.4848
135,2,20,25.5169
135.5,2,20,25.5483
136,2,20,25.5792
136.5,2,20,25.6095
137,2,20,25.6393
137.5,2,20,25.6685
138,2,20,25.6971
138.5,2,20,25.7251
139,2,20,25.7525
139.5,2,20,25.7794
140,2,20,25.8056
140.5,2,20,25.8314
141,2,20,25.8566
141.5,2,20,25.8813
142,2,20,25.9054
142.5,2,20,25.929
143,2,20,25.9521
143.5,2,20,25.9748
144,2,20,25.997
144.5,2,20,26.0187
145,2,20,26.0399
145.5,2,20,26.0606
146,2,20,26.0808
146.5,2,20,26.1007
147,2,20,26.1202
147.5,2,20,26.1392
148,2,20,26.1578
148.5,2,20,26.176
149,2,20,26.1938
149.5,2,20,26.2113
150,2,20,26.2283
150.5,2,20,26.245
151,2,20,26.2613
151.5,2,20,26.2772
152,2,20,26.2928
152.5,2,20,26.3081
153,2,20,26.323
153.5,2,20,26.3376
154,2,20,26.3519
154.5,2,20,26.3658
155,2,20,26.3795
155.5,2,20,26.3928
156,2,20,26.4059
156.5,2,20,26.4186
157,2,20,26.4311
157.5,2,20,26.4433
158,2,20,26.4553
158.5,2,20,26.4669
159,2,20,26.4784
159.5,2,20,26.4895
160,2,20,26.5005
160.5,2,20,26.5112
161,2,20,26.5216
161.5,2,20,26.5319
162,2,20,26.5419
162.5,2,20,26.5518
163,2,20,26.5614
163.5,2,20,26.5707
164,2,20,26.5799
164.5,2,20,26.5889
165,2,20,26.5976
165.5,2,20,26.6062
166,2,20,26.6146
166.5,2,20,26.6229
167,2,20,26.6309
167.5,2,20,26.6388
168,2,20,26.6466
168.5,2,20,26.6542
169,2,20,26.6615
169.5,2,20,26.6688
170,2,20,26.6758
170.5,2,20,26.6827
171,2,20,26.6895
